id,customer_id,amount,billing_cycle,next_payment_date,status,payment_method,failure_reason,retry_count,created_at,expected_recovery_action,expected_outcome,recoverable,expected_amount_recovered
SUB00001,CUST00419,2695.1,quarterly,2026-08-27,ACTIVE,UPI,,0,2026-01-27 10:10:50,NONE,ALREADY_SUCCESSFUL,False,0
SUB00002,CUST00231,758.92,monthly,2026-07-12,PAST_DUE,CARD,INSUFFICIENT_FUNDS,3,2025-02-15 12:58:08,ESCALATE,NOT_RECOVERED,False,0
SUB00003,CUST00367,552.06,quarterly,2026-08-30,ACTIVE,CARD,,0,2026-04-03 05:23:41,NONE,ALREADY_SUCCESSFUL,False,0
SUB00004,CUST00277,4801.83,monthly,2026-09-11,ACTIVE,NETBANKING,,0,2026-06-21 11:27:20,NONE,ALREADY_SUCCESSFUL,False,0
SUB00005,CUST00488,4600.07,monthly,2026-09-22,ACTIVE,NETBANKING,,0,2025-11-15 22:12:31,NONE,ALREADY_SUCCESSFUL,False,0
SUB00006,CUST00697,2293.55,monthly,2026-09-14,ACTIVE,NETBANKING,,0,2025-07-13 06:51:22,NONE,ALREADY_SUCCESSFUL,False,0
SUB00007,CUST00822,2793.54,monthly,2026-09-22,ACTIVE,WALLET,,0,2024-08-25 11:24:22,NONE,ALREADY_SUCCESSFUL,False,0
SUB00008,CUST00756,408.39,monthly,2026-08-07,PAST_DUE,CARD,INSUFFICIENT_FUNDS,4,2026-07-12 02:52:54,ESCALATE,NOT_RECOVERED,False,0
SUB00009,CUST00366,2903.7,monthly,2026-07-29,PAST_DUE,NETBANKING,INSUFFICIENT_FUNDS,0,2025-08-12 19:54:36,RETRY_PAYMENT,NOT_RECOVERED,False,0
SUB00010,CUST00693,3189.82,monthly,2026-09-05,ACTIVE,CARD,,0,2024-10-07 23:48:13,NONE,ALREADY_SUCCESSFUL,False,0
SUB00011,CUST00944,3296.52,monthly,2026-09-12,ACTIVE,UPI,,0,2025-05-07 14:01:38,NONE,ALREADY_SUCCESSFUL,False,0
SUB00012,CUST00642,3454.51,quarterly,,PAUSED,UPI,,0,2025-10-13 06:24:34,NONE,PAUSED,False,0
SUB00013,CUST00269,4872.19,annual,2026-09-11,ACTIVE,NETBANKING,,0,2025-01-13 06:14:43,NONE,ALREADY_SUCCESSFUL,False,0
SUB00014,CUST00308,2124.58,monthly,2026-08-31,ACTIVE,WALLET,,0,2026-05-13 12:26:39,NONE,ALREADY_SUCCESSFUL,False,0
SUB00015,CUST00674,834.58,annual,,CANCELLED,WALLET,,0,2024-09-28 11:25:54,NONE,STOPPED,False,0
SUB00016,CUST00087,1514.41,monthly,2026-09-07,ACTIVE,CARD,,0,2025-10-14 04:34:45,NONE,ALREADY_SUCCESSFUL,False,0
SUB00017,CUST00249,365.39,monthly,2026-09-09,ACTIVE,WALLET,,0,2026-05-13 05:38:10,NONE,ALREADY_SUCCESSFUL,False,0
SUB00018,CUST00709,868.89,annual,,CANCELLED,NETBANKING,,0,2026-03-14 15:33:45,NONE,STOPPED,False,0
SUB00019,CUST00375,2731.35,monthly,,CANCELLED,NETBANKING,,0,2025-03-05 18:42:13,NONE,STOPPED,False,0
SUB00020,CUST00081,4590.19,monthly,,PAUSED,WALLET,,0,2025-06-30 03:03:30,NONE,PAUSED,False,0
SUB00021,CUST00761,4769.47,monthly,2026-08-04,PAST_DUE,CARD,TEMPORARY_DECLINE,0,2025-12-13 18:18:25,RETRY_PAYMENT,RECOVERED,True,4769.47
SUB00022,CUST00549,3545.58,monthly,2026-08-30,ACTIVE,CARD,,0,2026-01-15 04:12:26,NONE,ALREADY_SUCCESSFUL,False,0
SUB00023,CUST00098,2077.61,monthly,2026-09-22,ACTIVE,NETBANKING,,0,2025-06-09 19:19:56,NONE,ALREADY_SUCCESSFUL,False,0
SUB00024,CUST00648,975.1,monthly,2026-09-06,ACTIVE,UPI,,0,2025-08-31 04:16:13,NONE,ALREADY_SUCCESSFUL,False,0
