id,customer_id,amount,currency,payment_method,gateway,bank,region,status,failure_reason,attempt_number,created_at,updated_at,expected_recovery_action,expected_outcome,recoverable,expected_amount_recovered
TXN000001,CUST00888,38848.71,INR,WALLET,Gateway A,Bank D,West,SUCCESS,,1,2026-07-30 02:24:31,2026-07-30 03:25:31,NONE,ALREADY_SUCCESSFUL,False,0
TXN000002,CUST00515,43336.68,INR,UPI,Gateway B,Bank A,East,FAILED,AMBIGUOUS,1,2026-07-13 01:46:14,2026-07-13 04:19:14,ESCALATE,NOT_RECOVERED,False,0
TXN000003,CUST00549,11498.68,INR,NETBANKING,Gateway D,Bank D,West,FAILED,AMBIGUOUS,1,2026-07-02 16:50:33,2026-07-02 16:57:33,ESCALATE,NOT_RECOVERED,False,0
TXN000004,CUST00404,34357.26,INR,CARD,Gateway D,Bank B,East,SUCCESS,,1,2026-02-12 20:53:19,2026-02-12 21:34:19,NONE,ALREADY_SUCCESSFUL,False,0
TXN000005,CUST00148,48521.61,INR,UPI,Gateway A,Bank C,East,ABANDONED,ABANDONED_CHECKOUT,1,2026-06-27 09:44:22,2026-06-27 10:53:22,SEND_PAYMENT_LINK,RECOVERED,True,48521.61
TXN000006,CUST00843,22884.3,INR,WALLET,Gateway D,Bank C,East,SUCCESS,,1,2026-03-03 10:43:14,2026-03-03 12:55:14,NONE,ALREADY_SUCCESSFUL,False,0
TXN000007,CUST00033,43108.67,INR,UPI,Gateway B,Bank A,North,SUCCESS,,1,2026-01-15 12:14:37,2026-01-15 14:19:37,NONE,ALREADY_SUCCESSFUL,False,0
TXN000008,CUST00892,49426.23,INR,UPI,Gateway C,Bank C,South,SUCCESS,,1,2026-05-22 18:22:34,2026-05-22 18:41:34,NONE,ALREADY_SUCCESSFUL,False,0
TXN000009,CUST00059,40975.62,INR,CARD,Gateway D,Bank B,South,FAILED,INSUFFICIENT_FUNDS,2,2026-04-21 23:06:48,2026-04-21 23:57:48,RETRY_PAYMENT,RECOVERED,True,40975.62
TXN000010,CUST00221,24790.19,INR,UPI,Gateway A,Bank C,North,FAILED,GATEWAY_FAILURE,2,2026-01-21 19:17:58,2026-01-21 19:50:58,ALTERNATE_METHOD,NOT_RECOVERED,False,0
TXN000011,CUST00939,37825.92,INR,UPI,Gateway C,Bank B,West,SUCCESS,,1,2026-04-22 04:44:15,2026-04-22 07:15:15,NONE,ALREADY_SUCCESSFUL,False,0
TXN000012,CUST00698,44027.19,INR,NETBANKING,Gateway B,Bank C,South,SUCCESS,,1,2025-10-25 17:50:06,2025-10-25 17:57:06,NONE,ALREADY_SUCCESSFUL,False,0
TXN000013,CUST00956,8741.73,INR,UPI,Gateway B,Bank D,North,SUCCESS,,1,2026-03-10 14:27:12,2026-03-10 14:28:12,NONE,ALREADY_SUCCESSFUL,False,0
TXN000014,CUST00166,45667.61,INR,WALLET,Gateway B,Bank E,North,SUCCESS,,1,2026-02-10 22:12:36,2026-02-11 00:44:36,NONE,ALREADY_SUCCESSFUL,False,0
TXN000015,CUST00206,35167.31,INR,CARD,Gateway A,Bank C,East,SUCCESS,,1,2025-12-18 14:04:48,2025-12-18 16:18:48,NONE,ALREADY_SUCCESSFUL,False,0
TXN000016,CUST00244,34351.95,INR,WALLET,Gateway A,Bank B,West,SUCCESS,,1,2026-07-16 03:26:13,2026-07-16 06:17:13,NONE,ALREADY_SUCCESSFUL,False,0
